Time,EE Netted,EE Unnetted
0.0,8613403.284911964,8613403.284911964
0.08333333333333333,8638170.67316902,8908685.67262122
0.16666666666666666,8729275.218890127,9409243.656388193
0.25,8840124.427967506,9851299.943857051
0.3333333333333333,8996664.739999237,10280302.921169506
0.41666666666666663,9163675.339006122,10672138.850434871
0.5,9340159.31400935,11027330.932985146
0.5833333333333333,9527684.061165702,11380083.109352743
0.6666666666666666,9702158.703526292,11701761.065272423
0.75,9867943.53846049,12013630.738359155
0.8333333333333333,10055871.743816959,12328146.574016526
0.9166666666666666,10223594.753886793,12612704.591034625
1.0,10388194.037110839,12891640.681214513
1.0833333333333333,10569685.649166275,13175091.836077034
1.1666666666666665,10746730.924887462,13444786.831862926
1.25,10927652.223889789,13715983.732630983
1.3333333333333333,11072772.684652481,13949826.755428882
1.4166666666666665,11249178.45196594,14205682.261132298
1.5,11395128.013797868,14435771.400020083
1.5833333333333333,11587018.922702784,14704223.860808771
1.6666666666666665,11740534.294340784,14925172.219974088
1.75,11896425.063936647,15153789.74235431
1.8333333333333333,12053903.915359369,15380626.452421525
1.9166666666666665,12212080.933390498,15599470.156291636
2.0,12373528.204081824,15822693.4276707
2.083333333333333,12521041.164805343,16035546.552983582
2.1666666666666665,12683713.700457055,16258111.080253355
2.25,12820100.250952981,16451094.504403898
2.333333333333333,12973459.144012913,16653001.393323237
2.4166666666666665,13160437.895275405,16893434.45499185
2.5,13332538.385177555,17115481.173317492
2.583333333333333,13492194.127520056,17330721.00353925
2.6666666666666665,13659486.502856521,17551175.202421814
2.75,13826807.130226577,17765084.20558169
2.833333333333333,13982033.858313741,17971989.124168627
2.9166666666666665,14126067.627389567,18163787.232465502
3.0,14277532.11108036,18362282.67265119
3.083333333333333,14430949.450254496,18558844.00544584
3.1666666666666665,14603493.067874953,18771914.680115674
3.25,14757824.952725884,18964891.62161398
3.333333333333333,14918729.590673454,19162406.858306818
3.4166666666666665,15069142.579347378,19349999.300269295
3.5,15220802.521714719,19547947.94670134
3.583333333333333,15373239.134971038,19737459.35561017
3.6666666666666665,15496926.503089635,19896376.089852832
3.75,15643480.456667043,20077333.99094285
3.833333333333333,15798136.533057837,20263378.1073094
3.9166666666666665,15946019.28616197,20438385.827222463
4.0,16104752.32495766,20628921.389625028
4.083333333333333,16241883.193637818,20788027.71653611
4.166666666666666,16422082.503187915,21006817.54020638
4.25,16566850.056760227,21179500.872295674
4.333333333333333,16708169.869649353,21353352.91659335
4.416666666666666,16886535.958713163,21556726.927401226
4.5,17051633.514772978,21750607.19001321
4.583333333333333,17214015.89151261,21931727.459831443
4.666666666666666,17391165.34582335,22138421.929413345
4.75,17547965.607841033,22318240.8996455
4.833333333333333,17717010.661712676,22510752.472397886
4.916666666666666,17872409.17127628,22695399.20126365
5.0,18043844.221633293,22879583.565736786
