Scenario,Netted CVA,Change EUR,Change %
Baseline,498117.5100308526,0.0,0.0
Volatility Stress,834207.321126848,336089.8110959954,67.47199291893564
Correlation Stress,468795.2270103048,-29322.283020547766,-5.886619608841215
