,coefficient,std_error
const,14.50263409065214,0.03836551764281054
Area,0.0005461111835857394,1.8816782598825538e-05
No. of Bedrooms,0.1144625359059954,0.020448325811462
MaintenanceStaff,-0.07348062893671548,0.03204828328869073
Gymnasium,-0.09041971135399818,0.04231165423225932
SwimmingPool,0.14395157583223017,0.039297189708277024
R_squared,0.7591897840930526,
