Portfolio,Rho,Expected Value,90% VaR,99.5% VaR,90% ES,99.5% ES
Portfolio I,0%,1499.9460366901733,5.884884066540508,24.830730164797387,11.706821126309796,43.963196656824806
Portfolio I,33%,1499.94762646112,6.762132565301499,33.794512860974464,12.883584584874882,59.40073850930209
Portfolio I,66%,1499.9691508100711,5.884884066540508,37.49642039411401,14.341865865602763,68.92325675432774
Portfolio I,100%,1499.9781082768804,-1.4219377892627563,49.9745741533975,0.5003345442636976,87.1535776812199
Portfolio II,0%,1499.8058074472228,48.468413562296064,290.02970681614056,107.8850054759065,304.1529594126995
Portfolio II,33%,1499.879235846891,48.468413562296064,300.0889919519568,112.3673902307363,370.94472347134973
Portfolio II,66%,1499.9355426586526,48.468413562296064,370.2758062202761,123.57091097339315,446.75151544824047
Portfolio II,100%,1500.061182537937,48.468413562296064,478.67072538886737,144.31771943655028,478.6707253888672
