entity,VaR_eur,ES_eur
ASML,8756.74065683175,10466.343801195066
SHELL,2898.2048242475134,3416.1585522276278
JPM_EUR,7981.843427314717,9521.93786806913
STOXX50,2062.6185760698713,2411.9216568287675
SP500_EUR,6478.356833266272,7669.656234626794
LOAN,942.8663454593757,1059.8754942405653
Portfolio,20545.2030896569,24721.3304928051
