Date,ASML,SHELL,JPM_EUR,STOXX50,SP500_EUR,LOAN,Portfolio
2017-01-02,0.013743169889112351,0.008904320336294434,0.012307758705503803,0.006577320719331543,0.006981548382444901,0.0002525956977165456,0.005982567561387164
2017-01-03,0.013613525988846178,0.00913310241299797,0.012024960177183144,0.006563398515128434,0.00689928052532157,0.0003019796217888965,0.005904314004768411
2017-01-04,0.013535717677098059,0.009641991942662,0.01263999512558399,0.00729314800183478,0.008112772013156053,0.00034560274829629025,0.006317686217175294
2017-01-05,0.01381327214192906,0.009494039039167896,0.012358120848206226,0.0070750474436707044,0.008321173090709514,0.0003761328520618911,0.006315337204624383
2017-01-06,0.013670313885707906,0.009429733028372708,0.013022380398082723,0.006920323178488913,0.0084837034130437,0.0003983251929780716,0.006453665379997338
2017-01-09,0.013536671653259185,0.00931287433499579,0.01297618605841793,0.006823440731063509,0.008433131525179924,0.00040860253904834073,0.006410776070531711
2017-01-10,0.013519699959239065,0.010694056132630338,0.012740150988422558,0.006964472415947604,0.00815406724173611,0.0004225369180603251,0.0063652260986837616
2017-01-11,0.0133999397989614,0.010405155860637564,0.012401677095931355,0.0068543568992343856,0.008058620357849027,0.0004427434506344239,0.006249515324150591
2017-01-12,0.013284371048745825,0.010886134015493905,0.012408287598897515,0.006758560034278418,0.007969851980765412,0.0004578859350593423,0.006233873837733906
2017-01-13,0.013228108684515004,0.01058433716110267,0.01276429058521347,0.007331212167575638,0.00797888279518006,0.00046026750147982803,0.006321118157409532
2017-01-16,0.013690266301978216,0.010248395125875744,0.012415390535313545,0.00868016008737182,0.007685105150587998,0.00045655113787129465,0.006306191606896203
2017-01-17,0.01367515031936954,0.010338946626551427,0.012083921713419385,0.009090656114364992,0.007432829116892631,0.0004592320919233323,0.006216874693864122
2017-01-18,0.01354377638961971,0.010051471944248063,0.015379184247646624,0.008522372175078743,0.0071932343768929975,0.00046131242017274,0.0067741051705107
2017-01-19,0.019947365918850244,0.009806851001761147,0.014849065318254695,0.008050734819772901,0.007360658003042349,0.0004573730018699712,0.007359301899910109
2017-01-20,0.019532298227453053,0.010116058168309442,0.01430722824471307,0.007651177354388356,0.007159794533559826,0.00045427654091974057,0.00715763863132008
2017-01-23,0.019107726106943192,0.009880076063723445,0.013801217347996567,0.007415637823272615,0.006937679240618105,0.0004498783296551858,0.0069475735622086
2017-01-24,0.018837834339540064,0.009873591052750427,0.013421686029715298,0.008062549379086969,0.007217868543555724,0.00044641764466331476,0.006934663148740662
2017-01-25,0.01848339986868703,0.009633081848268409,0.013137873027783579,0.007703835102207318,0.007010578306333995,0.0004513944354917445,0.0067706674911626585
2017-01-26,0.01808588298344537,0.009864555118255241,0.01370042201064457,0.009474651246056624,0.007577733794242548,0.0004495879635862454,0.007052139641213322
2017-01-27,0.017720698081064204,0.009657559864749374,0.013335053170878148,0.008761555935753939,0.0073955265502836385,0.0004481738607688158,0.0068566396481170066
2017-01-30,0.0173939130267056,0.009521548205578535,0.013101201252368041,0.00846195339180866,0.007332081951630238,0.00044706775549883823,0.006740149377937038
2017-01-31,0.01709103680553782,0.011204603599336407,0.01330493239030939,0.009723431787256332,0.007687865655091009,0.00044620308992703825,0.006949204555777184
