Date,ASML,SHELL,JPM_EUR,STOXX50,SP500_EUR,LOAN
2017-01-02,0.021644229482099063,0.017948906650032785,0.017942453092672596,0.01130690074581381,0.01228830697710076,0.0014394435072456575
2017-01-03,0.021004961124845893,0.017542539281139257,0.017432145610573328,0.010962446999057454,0.011966884057518707,0.0013956347995372803
2017-01-04,0.02039108165218745,0.017260827721018845,0.01742801901420535,0.010783829347412618,0.012165869907683764,0.0013535416229010543
2017-01-05,0.020048674153453287,0.016777961956951144,0.016954699636785846,0.010456942229626407,0.012027056556588077,0.0013127439393488
2017-01-06,0.01944663270505627,0.016314033782346145,0.016948122177356723,0.010138678084266689,0.011844030852883693,0.0012732026830580075
2017-01-09,0.018854209931774977,0.0158467302983751,0.016605782431839414,0.00983594049157048,0.011590398881637607,0.0012344691765925856
2017-01-10,0.01841267481812291,0.015932362199763142,0.01621095967365436,0.009578653836409346,0.011269190865600215,0.0011973410207399848
2017-01-11,0.017869942300076422,0.015463186796366995,0.0157287996644908,0.009289096622609046,0.01100450934802716,0.001162226333676889
2017-01-12,0.017339235821304748,0.015353347404506506,0.015484866384478286,0.009007025294182446,0.010779240712496,0.001128222455720793
2017-01-13,0.016842548126402845,0.014904339991110713,0.015393227444180377,0.008873139285826129,0.010568125227846593,0.0010943760669367823
2017-01-16,0.01696442642247659,0.014451506174250844,0.014949209450980277,0.009048640666789062,0.010246183468323709,0.0010610990611016546
2017-01-17,0.016534467998569204,0.01416157922054205,0.014496368682986349,0.009043775555376509,0.009937796169317576,0.0010293306394397706
2017-01-18,0.016031164117504666,0.013736722718124053,0.016336527808033307,0.0087966090430608,0.009635997040195727,0.0009985471907922234
2017-01-19,0.02265429547460707,0.013330315347125228,0.0158713112011905,0.008554757016417973,0.009499394920378625,0.0009681954775997109
2017-01-20,0.02200130218535495,0.013156746026309786,0.015390526832892047,0.008298633127560339,0.009236613817017137,0.0009387705332048371
2017-01-23,0.021344214417662887,0.012791769831114736,0.014925788522272266,0.008074354935701347,0.008955661519577413,0.0009102370278854619
2017-01-24,0.020828406302538228,0.012507482542166623,0.014514256670560968,0.008069991975976031,0.008886298156475425,0.0008825748126241879
2017-01-25,0.020287992700138372,0.012147791131419386,0.014196036722753293,0.007849903707047037,0.008631886889932895,0.0008563575320815637
2017-01-26,0.01967464518277877,0.012037478156576513,0.014490401111499842,0.008307640191585565,0.008795106520312299,0.0008303487878762095
2017-01-27,0.019080112382107613,0.011692362070397144,0.014130394000543407,0.00807112995514202,0.008556726879243887,0.0008051348601915549
2017-01-30,0.018518859529492074,0.011379946839244813,0.013859094145445916,0.007911645523460449,0.00840828548095095,0.0007806916130264035
2017-01-31,0.0179809724263745,0.012000706125247052,0.013821506572029784,0.008240544388373598,0.00843779104125047,0.0007569956480129958
2017-02-01,0.017481651343940176,0.01172619793803526,0.013946621682546017,0.008343750240804282,0.008181290393324839,0.0007340153991605798
2017-02-02,0.01697743998105683,0.011392624856723642,0.013578555453898748,0.00836812901232536,0.008201849266705618,0.0007124591993226676
2017-02-03,0.01656331606896537,0.011066633949253538,0.013166625234998616,0.00812301228975173,0.008010748630378064,0.0006908502038773387
2017-02-06,0.016119671130649042,0.011069714575572551,0.014873607354802656,0.008011213282503012,0.007998037804835796,0.0006699024884901925
2017-02-07,0.015652075379740275,0.010895151806977619,0.014512577146178065,0.008192146530509628,0.007818539866014036,0.0006495960002802242
2017-02-08,0.015342190202190879,0.010650049796708555,0.01409120855478299,0.00794501538929587,0.007641117290544299,0.0006299113000296905
2017-02-09,0.014905653919903577,0.010705551533305525,0.013678111901882135,0.007704997544655127,0.007593265699380171,0.0006108295435640149
2017-02-10,0.015032144324312692,0.010938204318245902,0.013643088450870844,0.008052757094473038,0.007441159867756124,0.0005923324637000906
2017-02-13,0.014583537305780613,0.01094891008417048,0.013229116469933957,0.007824743127735654,0.007400499819462376,0.0005752847152208732
2017-02-14,0.014554086295967468,0.0107634379977779,0.013480932957195508,0.008011845653656579,0.007501954082142505,0.000557877346280156
2017-02-15,0.014124259341631263,0.010435977029006453,0.013794913919170388,0.007772506582375115,0.0074204674101937705,0.0005409919086676996
2017-02-16,0.013759078519849399,0.01015057626711527,0.013773309228159121,0.007615166479476889,0.007390811120769299,0.0005246367225701219
2017-02-17,0.013387279627422394,0.010100252449608221,0.013379668847619442,0.007441988121028015,0.007219758381942256,0.0005087836960524636
2017-02-20,0.013028563978560673,0.01038090785122246,0.013173611223279556,0.007217160935916854,0.007082665220428432,0.000494444556319109
2017-02-21,0.012642200480150065,0.010124402004092621,0.012815451382238014,0.007002313830699716,0.00694684829655166,0.00047951921156197505
2017-02-22,0.012810279827529405,0.010585161868185481,0.012677835407161622,0.007075263187429303,0.006993254206269814,0.00046505282919409363
2017-02-23,0.013584221765075948,0.010368912694109042,0.012408603916365321,0.006859723582565261,0.0069032765623000016,0.00045215473764173716
2017-02-24,0.013262874848861957,0.010084363409040061,0.012030930590179527,0.006662145341936908,0.006695298397477033,0.00043851569199567175
2017-02-27,0.013064302168945042,0.010027538232995221,0.012006895590374928,0.006821821539073805,0.00650014912339361,0.00042531168751715485
2017-02-28,0.012682237977167228,0.009801896943092152,0.011684695551498222,0.006625269516332927,0.006378859428580744,0.0004125147388714763
2017-03-01,0.01244352676966121,0.009505412284738389,0.01133078759935196,0.006468610158758191,0.006332008621856059,0.00040137828300239835
2017-03-02,0.012950718897400518,0.010054011859363431,0.013839182648181595,0.008152488934236918,0.007170060153910785,0.0003893032163531185
2017-03-03,0.012630159787167087,0.009808183560735666,0.01376183953970268,0.007914078148965295,0.006983444765698279,0.0003776180010896511
2017-03-06,0.012247214622553458,0.009512570768754893,0.013551106655102821,0.007791160460999151,0.006810239563375847,0.0003662941626643275
2017-03-07,0.012290018171576638,0.009238678455338654,0.014005680650078822,0.007640322999832996,0.00740315190169038,0.00035532085349114663
2017-03-08,0.011963609712019627,0.008957366453298123,0.013585187772820655,0.00740950001424055,0.007181577669250972,0.0003446686439916215
2017-03-09,0.01163945149747017,0.009070191800193575,0.01317537588203553,0.007191152819572117,0.0069715940964526395,0.0003358793035732999
