,min_var,tangency,selected_risky_only
ASML,0.1372320832240727,0.2999999999999998,0.16
SHELL,0.08921594006722305,0.07258739315780105,0.08
JPM_EUR,0.17355197670870437,0.3,0.24
STOXX50,0.3,0.027412606842198952,0.08
SP500_EUR,0.2999999999999999,0.29999999999999977,0.24
