horizon_days,alpha,n_nonoverlap_obs,HS_VaR_eur,HS_ES_eur,SROT_VaR_eur,difference_eur,difference_pct_of_HS
1,0.01,2366,27153.73046074461,41585.51296681874,27153.730460744595,-1.4551915228366852e-11,-5.551115123125783e-14
1,0.05,2366,14180.152870244905,23530.966783282773,14180.152870244903,-1.8189894035458565e-12,-1.1102230246251565e-14
5,0.01,473,54661.67103347203,72158.46654390781,60717.5871529316,6055.916119459573,11.078907770220269
5,0.05,473,29975.395772377928,46712.95449686295,31707.78574920636,1732.3899768284318,5.779373156516643
10,0.01,236,88038.22365708927,121053.964779542,85867.63522624628,-2170.588430842996,-2.4655068454101037
10,0.05,236,37962.57470779613,72434.47879407971,44841.58063934799,6879.005931551859,18.120493629582924
