model,obs,hits,hit_rate,avg_VaR_on_hits,avg_shortfall,alpha,expected_violations,actual_violations,binomial_z,binomial_p,elicitability_score
Normal,2366.0,46.0,0.01944209636517329,21200.658667529584,32944.4554455439,,,,,,
Student-t df=5,2366.0,33.0,0.013947590870667794,23789.898121409507,36995.70778433672,,,,,,
HS,,,,,,0.01,21.16,27.0,1.2759610524160432,0.2019692873039598,57779439.26380875
HS,,,,,,0.05,105.80000000000001,136.0,3.012328331691723,0.0025925202373697775,29380482.53590156
FHS-EWMA,,,,,,0.01,21.16,18.0,-0.6904172817867631,0.4899318119228755,61827473.104712546
FHS-EWMA,,,,,,0.05,105.80000000000001,97.0,-0.8777645469830201,0.38007150783670207,34087276.407562315
