variable,count,mean,std,min,25%,50%,75%,max
def,1549.0,0.0974822466107166,0.29670910414372387,0.0,0.0,0.0,0.0,1.0
wkta,1549.0,0.13924071326354323,0.23032496856580137,-0.51,0.00891403685706726,0.114241907734241,0.278807127815375,0.73
reta,1549.0,0.10359551262663728,0.37937643525143316,-1.22,-0.0438420734503019,0.118814881524614,0.282274870311138,1.56
ebitta,1549.0,0.06958083729885117,0.10594869200295014,-0.33,0.030558088706279,0.0803141265149086,0.120417337547618,0.4
mv,1549.0,0.6677790799418555,1.5287949025033924,-3.78,0.0175164934653329,0.872766562125519,1.59142374027648,4.16
