max_depth,validation_fbeta
1,0.7932692307692307
2,0.845771144278607
3,0.8706467661691543
4,0.8883248730964467
5,0.873015873015873
6,0.851063829787234
7,0.8333333333333334
8,0.8241758241758241
9,0.819672131147541
10,0.819672131147541
