Model,Accuracy,Recall,Precision,F1,F_beta
Logistic Regression,0.9451612903225807,0.9285714285714286,0.6341463414634146,0.7536231884057971,0.8496732026143791
Neural Network,0.9548387096774194,0.8928571428571429,0.6944444444444444,0.78125,0.8445945945945946
Gradient Boosting,0.9483870967741935,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
Decision Tree,0.9290322580645162,0.75,0.5833333333333334,0.65625,0.7094594594594594
