Model,Accuracy,Recall,Precision,F1,F_beta
Logit (2 features),0.867741935483871,0.8571428571428571,0.39344262295081966,0.5393258426966292,0.6936416184971098
Decision Tree Small,0.8548387096774194,0.7857142857142857,0.36065573770491804,0.4943820224719101,0.6358381502890174
