model,fold,mae,rmse,bias,directional_accuracy
hourly_baseline,2.5,9.232695269266667,23.011103924137803,-0.1377932363492725,0.6013888888888889
random_forest,2.5,8.51678293529716,20.214568265613995,1.1594072720725952,0.6662037037037037
ridge,2.5,8.553997263167014,20.549053338461864,0.1690034089924386,0.6523148148148148
