Date,gross_return,transaction_cost,net_return,signal,beta,weight_rf,weight_schw,alpha,innovation,innovation_std,z_score
2020-01-02,0.0,0.0,0.0,0.0,0.6371113084372311,0.0,-0.0,0.1681392640684385,2.5823482438515226,3.918978157488649,0.6589340741583356
2020-01-03,-0.0,0.0,-0.0,0.0,0.6413463189659219,0.0,-0.0,0.1508970448752421,-0.0025042319594339446,0.0303687493330199,-0.08246081957386031
2020-01-06,-0.0,0.0,-0.0,0.0,0.6493128310098809,0.0,-0.0,0.11512489586996066,-0.017081785882656852,0.02580043965542775,-0.6620734418013409
2020-01-07,-0.0,0.0,-0.0,0.0,0.6413416393364487,0.0,-0.0,0.13788778902068208,-0.029146021368102293,0.024311905185740914,-1.1988374068354224
2020-01-08,0.0,0.0,0.0,0.0,0.6237972399243613,0.0,-0.0,0.20018189921422225,-0.019602373314580035,0.023622556889359474,-0.8298159003867067
2020-01-09,0.0,0.0,0.0,0.0,0.6091571461538178,0.0,-0.0,0.2534510211242892,-0.0120723989467173,0.023217256390862372,-0.5199752607921684
2020-01-10,-0.0,0.0,-0.0,0.0,0.6042012422469538,0.0,-0.0,0.2695356143481147,-0.01812408706137525,0.022758386741488255,-0.7963695874952008
2020-01-13,0.0,0.0,0.0,0.0,0.5941591534001884,0.0,-0.0,0.30584849251717844,-0.012759234678649811,0.022582016247364948,-0.5650175138873466
2020-01-14,0.0,0.0,0.0,0.0,0.5945358778996136,0.0,-0.0,0.3039445353069441,-0.004179709772181628,0.022353205743024993,-0.18698480299568881
2020-01-15,-0.0,0.0,-0.0,0.0,0.606014128554119,0.0,-0.0,0.2598249217763344,-0.007276821823017254,0.022452727892048108,-0.3240952216587644
2020-01-16,-0.0,0.0,-0.0,0.0,0.5771374796201814,0.0,-0.0,0.3680806733605592,-0.009460220786316142,0.023100589135437517,-0.4095229230237971
