Date,alpha,beta,innovation,innovation_std,z_score,state_var_alpha,state_var_beta
2020-01-02,0.1681392640684385,0.6371113084372311,2.5823482438515226,3.918978157488649,0.6589340741583356,0.9348890461626544,0.06513979124405656
2020-01-03,0.1508970448752421,0.6413463189659219,-0.0025042319594339446,0.0303687493330199,-0.08246081957386031,0.8911679954500912,0.06250220655642064
2020-01-06,0.11512489586996066,0.6493128310098809,-0.017081785882656852,0.02580043965542775,-0.6620734418013409,0.8882487463931203,0.06235746560601367
2020-01-07,0.13788778902068208,0.6413416393364487,-0.029146021368102293,0.024311905185740914,-1.1988374068354224,0.8878882664801623,0.06231329928055211
2020-01-08,0.20018189921422225,0.6237972399243613,-0.019602373314580035,0.023622556889359474,-0.8298159003867067,0.8822528364648332,0.06186633734748354
2020-01-09,0.2534510211242892,0.6091571461538178,-0.0120723989467173,0.023217256390862372,-0.5199752607921684,0.8717578016665902,0.061073656939866355
2020-01-10,0.2695356143481147,0.6042012422469538,-0.01812408706137525,0.022758386741488255,-0.7963695874952008,0.8713499110214344,0.061034973937197534
2020-01-13,0.30584849251717844,0.5941591534001884,-0.012759234678649811,0.022582016247364948,-0.5650175138873466,0.8672195037629842,0.0607191365851282
2020-01-14,0.3039445353069441,0.5945358778996136,-0.004179709772181628,0.022353205743024993,-0.18698480299568881,0.8671158663760219,0.060715121661178276
2020-01-15,0.2598249217763344,0.606014128554119,-0.007276821823017254,0.022452727892048108,-0.3240952216587644,0.8485840876214491,0.059460852225095534
2020-01-16,0.3680806733605592,0.5771374796201814,-0.009460220786316142,0.023100589135437517,-0.4095229230237971,0.7787053177093914,0.054488827379610576
2020-01-17,0.44065358917542546,0.5575754745142386,-0.015752021395691873,0.022182557184950505,-0.7101084543299925,0.7682605703557758,0.05372998415826011
2020-01-21,0.5629554756159576,0.524715202597536,-0.024002304697041232,0.022146577227113183,-1.0837929694912924,0.7555263563398412,0.052810744499698276
2020-01-22,0.8033262531465049,0.4606027061496256,-0.028661472826939427,0.022438301896840457,-1.2773458953672094,0.7201147391565997,0.050291555691582446
2020-01-23,0.8867830050173422,0.43809655189099767,-0.02343527883004981,0.02194301998946415,-1.068006083087112,0.7140085204152143,0.049847526139273006
2020-01-24,0.6201974333880897,0.5078575817795642,-0.038103197686266466,0.02217211318521039,-1.718518995820511,0.689944742617203,0.048199722578840386
2020-01-27,0.0825132007838526,0.6494531180629008,-0.03640320473543879,0.024060693122075216,-1.5129740673197631,0.5636481941980569,0.03944113727642078
2020-01-28,-0.19995386666335901,0.7237054050777708,-0.030261893889056424,0.022635661156960977,-1.3369123030784638,0.5190076611181761,0.03635647513780004
2020-01-29,-0.4875100794817997,0.7993903378195459,-0.029032959164026817,0.02284710610068523,-1.270749960020366,0.4678011807609294,0.03280921339866727
2020-01-30,-0.5615315045959223,0.8184908486985684,-0.03233787979934588,0.021733402146981214,-1.487934543365436,0.46532638438874835,0.03264447086500861
2020-01-31,-0.6009298015144872,0.828874378832683,-0.003890227628360776,0.023030409863987657,-0.1689169950224756,0.4109252631413134,0.028865806843861058
2020-02-03,-0.4959011146585409,0.8012099246254689,0.012848412612741722,0.022581104306725323,0.5689895603960823,0.3768525504495108,0.0265019156036378
2020-02-04,-0.4807450127371497,0.7973596905985084,0.011864226439129766,0.021639226773741194,0.5482740470896487,0.3760884428468941,0.026452644847838394
2020-02-05,-0.5213477098027394,0.8082623955725942,0.009855793159014858,0.021845795660639093,0.45115285852337456,0.3679889100644114,0.025868677984531567
2020-02-06,-0.5279892948880774,0.8100707322066847,0.0035033279602902923,0.0216414055091286,0.16188079645809267,0.36630568803734415,0.025743935626662457
2020-02-07,-0.5230394227951285,0.8088955923553254,0.010326416967374463,0.021578944160037142,0.4785413452479451,0.3661987408263042,0.025737949535303072
2020-02-10,-0.4760496928042387,0.7966520883085776,0.01663853399050952,0.021672279426991965,0.7677334563057951,0.36245263675526135,0.02548366789961579
2020-02-11,-0.48660787731070493,0.799559277911011,0.008434311013216789,0.0215779921252753,0.3908756182804094,0.3617230532504979,0.02542839373328082
2020-02-12,-0.5030623753553695,0.8040427836923839,0.009650242640126372,0.021587907214039474,0.44702075770690897,0.3603681767196603,0.02532784210409017
2020-02-13,-0.5083700734059605,0.8057271241052032,0.022441738632902553,0.021537754497993843,1.0419720697899548,0.36034227316254375,0.025325273281028307
2020-02-14,-0.5076913873536044,0.8057759383149838,0.018795509358436657,0.021528903706017014,0.8730360642183367,0.36034171305959184,0.02532531438085603
2020-02-18,-0.4799802504589621,0.7985785264848645,0.012505436393453362,0.021587753709841777,0.5792838181099027,0.3580533891402563,0.025170986115705507
2020-02-19,-0.486949802945857,0.8005111978435324,0.007154760996411547,0.02152990609487281,0.3323173340786378,0.357613584177195,0.025137207504951506
2020-02-20,-0.45635528581507656,0.7923377388640863,-0.005510560173642709,0.021979229450213512,-0.25071671352833425,0.34272273914810714,0.02407446725500498
2020-02-21,-0.35723980754704926,0.7663173028974026,0.02215033932672439,0.0218033555063432,1.015914239451824,0.33320427565018956,0.02341849455881529
2020-02-24,-0.08942585428642408,0.6955281576771897,0.02388464804471324,0.024393116939713442,0.9791552307047574,0.2583936912749704,0.018191806692787013
2020-02-25,-0.18153223007435498,0.7199112828222827,-0.008024527135962245,0.027199453432845435,-0.2950253083494689,0.160926007636208,0.011361229911858518
2020-02-26,-0.31439911810518534,0.7550851376241833,-0.01597553890254355,0.025151516245186856,-0.6351720010359505,0.11716871977409854,0.008294673360255633
2020-02-27,-0.7411017435996967,0.8679595617405113,-0.071413168501826,0.02354110394440029,-3.033552235718878,0.09738323460925424,0.006910232952605809
2020-02-28,-1.072596243983391,0.9557665572976181,-0.056737727977878905,0.024018085798029738,-2.3622918352025057,0.07769147242509766,0.005528649143888716
2020-03-02,-1.0774097713701114,0.957038270096201,-0.0012483645752512373,0.02258891608649268,-0.055264474420608084,0.07010513292505877,0.004999168946716443
2020-03-03,-0.7641456105928608,0.8738383678009987,0.05734723584051693,0.025030530421064064,2.2910915140758354,0.051409700148412396,0.003680468376158046
2020-03-04,-0.3083741473820819,0.7526816816198977,0.09900740769887362,0.024799927796076968,3.9922458046242912,0.03837628469015678,0.0027595113385954968
