Date,RF,SCHW
2020-01-02,13.228164672851562,44.22048568725586
2020-01-03,12.980474472045898,43.101905822753906
2020-01-06,12.83340835571289,43.404483795166016
2020-01-07,12.655383110046387,43.661197662353516
2020-01-08,12.73278522491455,43.92708969116211
2020-01-09,12.810187339782715,44.110469818115234
2020-01-10,12.655383110046387,43.826236724853516
2020-01-13,12.725044250488281,44.0279426574707
2020-01-14,12.76374626159668,43.743717193603516
2020-01-15,12.624421119689941,43.2027702331543
2020-01-16,12.887591361999512,44.92647171020508
2020-01-17,12.686341285705566,44.32133865356445
2020-01-21,12.577975273132324,44.42219924926758
2020-01-22,12.554757118225098,44.8623046875
2020-01-23,12.516056060791016,44.39469528198242
2020-01-24,12.167742729187012,43.23027038574219
2020-01-27,11.958754539489746,41.9558219909668
2020-01-28,12.020676612854004,42.45093536376953
2020-01-29,11.920052528381348,42.130035400390625
2020-01-30,12.082598686218262,43.26694107055664
2020-01-31,12.051637649536133,41.76328659057617
2020-02-03,12.276105880737305,41.882484436035156
2020-02-04,12.585719108581543,43.16609191894531
2020-02-05,12.825665473937988,44.2755126953125
2020-02-06,12.655383110046387,43.85374450683594
2020-02-07,12.632160186767578,43.37696838378906
2020-02-10,12.601198196411133,42.88186264038086
2020-02-11,12.701820373535156,43.70704650878906
2020-02-12,12.74826431274414,43.81706619262695
2020-02-13,12.848892211914062,43.52256774902344
2020-02-14,12.802445411682129,43.46734619140625
2020-02-18,12.624421119689941,43.007179260253906
2020-02-19,12.717302322387695,43.66061019897461
2020-02-20,12.802445411682129,44.70978546142578
2020-02-21,12.639901161193848,42.510189056396484
2020-02-24,12.175483703613281,40.31059646606445
2020-02-25,11.447895050048828,38.28586196899414
2020-02-26,11.285347938537598,38.12020492553711
2020-02-27,10.720307350158691,38.57115936279297
2020-02-28,10.464879989624023,37.50358581542969
2020-03-02,11.231167793273926,38.635597229003906
2020-03-03,10.906072616577148,35.24876403808594
2020-03-04,11.262127876281738,34.199588775634766
2020-03-05,10.80444622039795,32.02759552001953
2020-03-06,10.155084609985352,31.410978317260742
2020-03-09,8.1913480758667,27.858491897583008
2020-03-10,8.973710060119629,30.315771102905273
2020-03-11,8.363468170166016,29.846410751342773
2020-03-12,7.401163578033447,26.165075302124023
2020-03-13,7.807990074157715,31.17169189453125
2020-03-16,6.5014448165893555,28.12538719177246
2020-03-17,6.947392463684082,30.996828079223633
2020-03-18,5.758197784423828,29.83720588684082
2020-03-19,6.477972984313965,29.28500747680664
2020-03-20,6.462324619293213,28.300251007080078
2020-03-23,6.039848327636719,26.229496002197266
2020-03-24,6.923921585083008,28.272632598876953
2020-03-25,6.830035209655762,31.447784423828125
2020-03-26,7.706283092498779,31.438589096069336
2020-03-27,7.565457820892334,30.93239974975586
2020-03-30,7.43245792388916,31.59503746032715
2020-03-31,7.017805576324463,30.941608428955078
2020-04-01,6.493621826171875,30.334182739257812
2020-04-02,6.564033508300781,31.650259017944336
2020-04-03,6.313675880432129,30.92319107055664
2020-04-06,6.947392463684082,33.205623626708984
2020-04-07,7.3463969230651855,32.15644836425781
2020-04-08,7.909698486328125,33.58296203613281
2020-04-09,8.613825798034668,33.62897491455078
2020-04-13,8.347821235656738,31.999984741210938
2020-04-14,7.917521953582764,33.32527160644531
2020-04-15,7.268158435821533,31.907958984375
2020-04-16,6.923921585083008,31.843536376953125
2020-04-17,7.448103427886963,32.9387321472168
2020-04-20,7.354221343994141,33.67499923706055
2020-04-21,6.947392463684082,33.07677459716797
2020-04-22,7.111688137054443,33.012351989746094
2020-04-23,7.369868278503418,32.80067443847656
2020-04-24,7.659342288970947,32.57979965209961
2020-04-27,8.199173927307129,33.905067443847656
2020-04-28,8.363468170166016,34.12594985961914
2020-04-29,8.809418678283691,35.69973373413086
2020-04-30,8.410411834716797,34.714969635009766
2020-05-01,7.956638813018799,33.54615783691406
2020-05-04,7.948817729949951,32.79146957397461
2020-05-05,7.807990074157715,32.11963653564453
2020-05-06,7.549808979034424,31.815927505493164
2020-05-07,7.706283092498779,32.53753662109375
2020-05-08,8.073994636535645,33.7772331237793
2020-05-11,7.674988269805908,33.15739822387695
2020-05-12,7.29163122177124,31.751161575317383
2020-05-13,6.978687286376953,30.66873550415039
2020-05-14,7.307278633117676,30.90003204345703
2020-05-15,7.189924240112305,30.122894287109375
2020-05-18,7.847109794616699,31.649398803710938
2020-05-19,7.541987895965576,30.520713806152344
2020-05-20,7.86275577545166,31.16832160949707
2020-05-21,7.776697158813477,30.73349380493164
2020-05-22,7.784519672393799,30.37268829345703
2020-05-26,8.574708938598633,31.917678833007812
2020-05-27,9.372718811035156,34.31382369995117
2020-05-28,8.997183799743652,33.31467056274414
2020-05-29,8.848535537719727,33.222137451171875
2020-06-01,8.981536865234375,33.7772331237793
2020-06-02,9.153656959533691,34.36008071899414
2020-06-03,9.630900382995605,36.552696228027344
2020-06-04,10.244964599609375,38.56027603149414
2020-06-05,10.561901092529297,39.614933013916016
2020-06-08,10.96599292755127,38.689781188964844
2020-06-09,10.664901733398438,37.17253494262695
2020-06-10,10.031030654907227,35.26673126220703
2020-06-11,9.032681465148926,33.453433990478516
2020-06-12,9.428852081298828,33.8234977722168
2020-06-15,9.634862899780273,33.90676498413086
2020-06-16,9.967643737792969,34.156551361083984
2020-06-17,9.793328285217285,33.925270080566406
2020-06-18,9.793328285217285,34.11954879760742
2020-06-19,9.508085250854492,33.925270080566406
2020-06-22,9.571475982666016,33.6939697265625
