symbol,ec1,ec2,adf_pvalue,cointegration_rank,lag_order
SPY5.P,-0.02701114715033813,-0.24508702831501636,0.6907828249274385,2,2
SPY5.SIX,0.3316388046308595,-0.6144049770085629,0.6786221926702015,2,2
SPY5l.CHIX,0.3353774714559652,-0.26481891866081875,0.7008004536135374,2,2
