model,aic,bic,log_likelihood
"GARCH(1,1)",1038.203205321708,1058.3204432865132,-514.101602660854
"EGARCH(1,1)",1039.072782605412,1059.190020570217,-514.536391302706
"GARCH(2,2)",1039.9462728700714,1068.1104060207986,-512.9731364350357
"GARCH(1,2)",1040.0571308667,1064.197816424466,-514.02856543335
"GARCH(2,1)",1040.2032052922625,1064.3438908500286,-514.1016026461313
"EGARCH(1,2)",1041.0072351662575,1065.1479207240236,-514.5036175831287
"EGARCH(2,1)",1041.033272632125,1065.1739581898912,-514.5166363160625
"EGARCH(2,2)",1041.4646360893662,1069.6287692400933,-513.7323180446831
