model,aic,bic,log_likelihood,mse_SPY5.P,mse_SPY5.SIX,mse_SPY5l.CHIX
VAR(2),-14.192023041254998,-14.174377195476207,23782.230662961818,0.07773546219302516,0.09233354727424835,0.1027834257093271
VAR(5),-14.19727210214198,-14.156926334117106,23822.669896889023,0.07773490498332401,0.09233267144035993,0.10278208716033894
