p,q,aic,bic,log_likelihood,oos_mse,ljung_box_pvalue
1,2,568.3946622652978,585.9819267476214,-279.1973311326489,1.4093245429417764,0.8712287638165446
0,2,569.5840773889155,583.6538889747743,-280.79203869445774,1.4157221236348234,0.8030106469471133
0,1,569.6356776790491,580.2000604326358,-281.81783883952454,1.4160150918407755,0.7612816725866126
0,0,569.7054025905597,576.7563084688234,-282.85270129527987,1.415243255878186,0.7542745538273278
2,2,570.2198314483657,591.3245488271539,-279.1099157241828,1.4093638951917786,0.8800715203190858
2,0,570.8742550002673,584.9600986717163,-281.43712750013367,1.4159729799923364,0.796911177600616
1,0,571.6208459356717,582.197204753067,-282.81042296783585,1.4153186209990813,0.7610208289492957
1,1,571.6348772110898,585.7207208825388,-281.8174386055449,1.4160051904299724,0.7609903091667167
2,1,572.8716974478089,590.47900203712,-281.4358487239044,1.4159562743151888,0.7956195448561801
