Ticker,sector,alpha,beta_mkt,beta_smb,beta_hml,r_squared,observations
ALB,Basic Materials,-0.00015582868837681245,1.275807759916235,0.6129220613051213,0.2501006874781195,0.38716741955829614,3895
APD,Basic Materials,1.9907875840206503e-05,0.926947015854243,-0.1661515874660548,0.18346874145424447,0.4549910218785169,3895
CF,Basic Materials,0.00031313403150449597,0.9663264156915108,0.32694625715734466,0.7232637430012376,0.27466192833588576,3895
DD,Basic Materials,-0.0002144962388944439,1.2114652848914218,0.10360524447304031,0.5638058076309145,0.5421918852831288,3895
ECL,Basic Materials,7.802475640572806e-05,0.929074844736563,-0.15066013334460826,0.13917189285031165,0.4953786668277744,3895
EMN,Basic Materials,-7.970501346804581e-05,1.154588118448876,0.25947157954078626,0.6532257664886766,0.5744383271299456,3895
FCX,Basic Materials,-0.0002191350507189803,1.558140371963738,0.45063847640507937,0.7308686227538019,0.386406800377625,3895
FMC,Basic Materials,-0.00012941455012429007,1.0273910961815287,0.2518501212988581,0.43339236167670026,0.3749214066251081,3895
IFF,Basic Materials,-0.00012177468424509448,0.8843375646811091,0.03086868574899728,0.1787116748737038,0.3615672877089695,3895
LIN,Basic Materials,0.0001044093042749763,0.8860316396107311,-0.20135649767395958,0.16078744174290047,0.532739543522216,3895
LYB,Basic Materials,0.00014046758749948482,1.2186528382477675,0.311560664558568,0.8720525361623384,0.5168689302716047,3816
MLM,Basic Materials,0.00016509443728609795,0.9841666510897487,0.3638273032949197,0.39252210167661605,0.4121201106823056,3895
MOS,Basic Materials,-0.0002657438683214906,1.0895510050129895,0.4934108382666501,0.9410130488196262,0.3498199213080804,3895
NEM,Basic Materials,0.00012201618312879,0.41806057145158654,0.06783921041020487,0.042164464188353214,0.047756661279025,3895
NUE,Basic Materials,-1.0506911110533832e-05,1.1369168434238568,0.2747412236213473,0.6914477286434687,0.4924897857685038,3895
PPG,Basic Materials,1.3690424639039073e-06,0.9968319015076508,0.12194815735915535,0.3256015806973515,0.5270353074191101,3895
SHW,Basic Materials,0.00039792077366778827,0.8406209776761812,0.056264818998146976,-0.062300016378288116,0.3806831541969915,3895
STLD,Basic Materials,0.00025652684487317644,1.242003817087291,0.5068269805487247,0.82667929230659,0.4715916354549189,3895
VMC,Basic Materials,0.0001256462316698564,0.9845312520846966,0.44395360075695306,0.3908017042427072,0.39275883798191025,3895
CHTR,Communication Services,0.0003323006449656055,0.8054610349914484,-0.07874313755119593,-0.08230441349900072,0.22563591157791318,3894
CMCSA,Communication Services,7.31797214506279e-05,0.8750421424063908,-0.12719884496939807,0.21254164615114327,0.40312543831581504,3895
DIS,Communication Services,-2.9180156293639206e-05,0.9936185794579407,-0.0020103054569763695,0.22612193933333083,0.46471268529014753,3895
EA,Communication Services,0.00026400166443347887,0.8213938080055224,-0.05852147215097738,-0.26654321958771454,0.22321623531505508,3895
GOOG,Communication Services,0.00012125086618583271,1.0825664233623706,-0.21365270267797112,-0.43056896929443134,0.5122863651601136,3895
GOOGL,Communication Services,0.00011704761520979297,1.0839842210965396,-0.21426292198847377,-0.43888145027231756,0.5150525789341671,3895
IPG,Communication Services,5.084337333351051e-05,1.1136797832221128,0.3328512277944917,0.5465856342959565,0.4685908318477926,3895
LYV,Communication Services,0.0003947376165111007,1.158167687150468,0.590780723657747,0.3326116250858138,0.3855733372859792,3895
META,Communication Services,0.00045993532265934745,1.2125315604976594,-0.07664124135971208,-0.6782418729557863,0.3452389727436468,3296
MTCH,Communication Services,0.00018504034412522807,0.997973232020475,0.4403355025348274,-0.535749563730539,0.257999776278644,3895
NFLX,Communication Services,0.0011535347749401883,1.0703443297073167,0.09879184887648267,-0.8548689506841112,0.2025835289022323,3895
OMC,Communication Services,-6.542856461367162e-05,0.8716701687726552,0.17955670481296876,0.4893531785812657,0.46701084449747055,3895
PARA,Communication Services,-0.0001673058077103548,1.0942728741882182,0.6135600668735168,0.5820672904792262,0.31376836966218047,3895
T,Communication Services,0.00010146449746165572,0.6048254348199087,-0.2786783546465747,0.4231676523877299,0.3159319432720582,3895
TKO,Communication Services,0.0006330286711160742,0.7540339330769811,0.3891170226969742,0.06091604144244038,0.15198016370647993,3895
TMUS,Communication Services,0.0004751473652732557,0.8954032502002226,-0.07762327388036876,0.0815764265691428,0.2099894044121955,3895
TTWO,Communication Services,0.0004975783830659971,0.9127022556937563,0.14134860128458737,-0.49154493254202625,0.263240751473948,3895
VZ,Communication Services,5.110211876749308e-05,0.4897214214052329,-0.3178932465198863,0.24095708100327534,0.232668409479315,3895
WBD,Communication Services,-0.00027478670662222385,0.9975202089193167,0.6210993811347134,0.45331298828169997,0.2784997183291774,3895
AMCR,Consumer Cyclical,-1.5641261916527354e-05,0.5660706642015103,0.08619533838318677,0.30445913970895466,0.1847492995140647,3299
AMZN,Consumer Cyclical,0.00040569692434808146,1.142344153004046,-0.11682269551796676,-0.7566826428754349,0.4639426088342673,3895
