sector,n_stocks,observations,mean_excess_return,volatility
Basic Materials,19,73926,0.000531318968626202,0.020867863788267584
Communication Services,19,73405,0.0007160422334098054,0.021225070174531395
Consumer Cyclical,52,200360,0.000745826722424015,0.02212965786105337
Consumer Defensive,33,128535,0.00045581697277435375,0.014841445513593343
